S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date
1;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.282.182;-32.978.438;1.398.000.030.517.570;0;0;358;undefined;0;8.236.587.524.414.060;-0.7157440185546875;58.887.786.865.234.300;undefined;undefined;undefined;undefined;13-10-2019 6:18:41 p. m.
2;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.282.182;-32.978.438;1.398.000.030.517.570;0;0;358;undefined;0;8.236.587.524.414.060;-0.7157440185546875;58.887.786.865.234.300;undefined;undefined;undefined;undefined;13-10-2019 6:18:41 p. m.
3;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.282.182;-32.978.438;1.398.000.030.517.570;0;23;356;undefined;0;30.855.926.513.671.800;1.767.425.537.109.370;-2.492.523.193.359.370;undefined;undefined;undefined;undefined;13-10-2019 6:18:51 p. m.
4;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.282.182;-32.978.438;1.398.000.030.517.570;0;23;356;undefined;0;30.855.926.513.671.800;1.767.425.537.109.370;-2.492.523.193.359.370;undefined;undefined;undefined;undefined;13-10-2019 6:18:51 p. m.
5;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.282.258;-3.297.845;1.398.000.030.517.570;0.213154137134552;23;4;undefined;0;30.410.293.579.101.500;-0.8701171875;-366.778.564.453.125;undefined;undefined;undefined;undefined;13-10-2019 6:19:03 p. m.
6;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.282.258;-3.297.845;1.398.000.030.517.570;0.213154137134552;23;4;undefined;0;30.410.293.579.101.500;-0.8701171875;-366.778.564.453.125;undefined;undefined;undefined;undefined;13-10-2019 6:19:03 p. m.
7;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.282.258;-3.297.845;1.398.000.030.517.570;0.213154137134552;23;7;undefined;0;26.697.189.331.054.600;-0.371612548828125;-57.811.431.884.765.600;undefined;undefined;undefined;undefined;13-10-2019 6:19:14 p. m.
8;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.282.258;-3.297.845;1.398.000.030.517.570;0.213154137134552;23;7;undefined;0;26.697.189.331.054.600;-0.371612548828125;-57.811.431.884.765.600;undefined;undefined;undefined;undefined;13-10-2019 6:19:14 p. m.
9;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.282.193;-329.784.387;1.398.000.030.517.570;0.0762406587600708;23;15;undefined;0;29.221.435.546.875;-507.568.359.375;-0.9622650146484375;undefined;undefined;undefined;undefined;13-10-2019 6:19:25 p. m.
10;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.282.193;-329.784.387;1.398.000.030.517.570;0.0762406587600708;23;15;undefined;0;29.221.435.546.875;-507.568.359.375;-0.9622650146484375;undefined;undefined;undefined;undefined;13-10-2019 6:19:25 p. m.
11;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.279.456;-329.783.967;1.398.000.030.517.570;2.112.900.972.366.330;23;8;undefined;0;8.581.436.157.226.560;-29.380.950.927.734.300;5.237.396.240.234.370;undefined;undefined;undefined;undefined;13-10-2019 6:19:36 p. m.
12;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.279.456;-329.783.967;1.398.000.030.517.570;2.112.900.972.366.330;23;8;undefined;0;8.581.436.157.226.560;-29.380.950.927.734.300;5.237.396.240.234.370;undefined;undefined;undefined;undefined;13-10-2019 6:19:36 p. m.
13;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.279.456;-329.783.967;1.398.000.030.517.570;2.112.900.972.366.330;23;8;undefined;0;8.581.436.157.226.560;-29.380.950.927.734.300;5.237.396.240.234.370;undefined;undefined;undefined;undefined;13-10-2019 6:19:36 p. m.
14;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.280.716;-329.784.262;1.398.000.030.517.570;0.1781345009803772;23;4;undefined;0;30.038.681.030.273.400;-11.556.243.896.484.300;-190.338.134.765.625;undefined;undefined;undefined;undefined;13-10-2019 6:19:47 p. m.
15;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.280.716;-329.784.262;1.398.000.030.517.570;0.1781345009803772;23;4;undefined;0;30.038.681.030.273.400;-11.556.243.896.484.300;-190.338.134.765.625;undefined;undefined;undefined;undefined;13-10-2019 6:19:47 p. m.
16;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.280.716;-329.784.262;1.398.000.030.517.570;0.1781345009803772;23;4;undefined;0;30.038.681.030.273.400;-11.556.243.896.484.300;-190.338.134.765.625;undefined;undefined;undefined;undefined;13-10-2019 6:19:47 p. m.
17;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.281.228;-329.784.295;1.398.000.030.517.570;0.2087455689907074;23;10;undefined;0;28.777.313.232.421.800;-2.081.634.521.484.370;-40.197.601.318.359.300;undefined;undefined;undefined;undefined;13-10-2019 6:19:57 p. m.
18;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.281.228;-329.784.295;1.398.000.030.517.570;0.2087455689907074;23;10;undefined;0;28.777.313.232.421.800;-2.081.634.521.484.370;-40.197.601.318.359.300;undefined;undefined;undefined;undefined;13-10-2019 6:19:57 p. m.
19;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.281.228;-329.784.295;1.398.000.030.517.570;0.2087455689907074;23;10;undefined;0;28.777.313.232.421.800;-2.081.634.521.484.370;-40.197.601.318.359.300;undefined;undefined;undefined;undefined;13-10-2019 6:19:57 p. m.
20;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.281.342;-32.978.432;1.398.000.030.517.570;0.13804014027118683;23;359;undefined;0;29.221.435.546.875;0.91241455078125;-343.212.890.625;undefined;undefined;undefined;undefined;13-10-2019 6:20:09 p. m.
21;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.281.342;-32.978.432;1.398.000.030.517.570;0.13804014027118683;23;359;undefined;0;29.221.435.546.875;0.91241455078125;-343.212.890.625;undefined;undefined;undefined;undefined;13-10-2019 6:20:09 p. m.
22;Ok5AoVsujhM6FE2ArqoBvwogQO62;#¿NOMBRE?;-715.281.342;-32.978.432;1.398.000.030.517.570;0.13804014027118683;23;359;undefined;0;29.221.435.546.875;0.91241455078125;-343.212.890.625;undefined;undefined;undefined;undefined;13-10-2019 6:20:09 p. m.
