S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;postionDop;horizontalDop;verticalDop;geoidHeight;Day;dDate;Time
1;3ZXWpTMXyTRf1fxbZOaWbOTVqtT2;#¿NOMBRE?;-71,5463915;-33,0078887;47,59999847;0;0;212;undefined;undefined;undefined;undefined;undefined;undefined;lun.; 10 ago. 2020; 16:29:43
2;3ZXWpTMXyTRf1fxbZOaWbOTVqtT2;#¿NOMBRE?;-71,5461526;-33,0084273;44,19999695;0;20;217;undefined;undefined;undefined;100;undefined;undefined;lun.; 10 ago. 2020; 16:29:54
3;3ZXWpTMXyTRf1fxbZOaWbOTVqtT2;#¿NOMBRE?;-71,5463416;-33,0082193;44,19999695;8;19;267;In Vehicle;98%;undefined;87;undefined;undefined;lun.; 10 ago. 2020; 16:30:05
4;3ZXWpTMXyTRf1fxbZOaWbOTVqtT2;#¿NOMBRE?;-71,5475996;-33,008129;44,19999695;10;19;269;In Vehicle;96%;undefined;87;undefined;undefined;lun.; 10 ago. 2020; 16:30:15
5;3ZXWpTMXyTRf1fxbZOaWbOTVqtT2;#¿NOMBRE?;-71,5483408;-33,0080204;44,19999695;4;19;276;In Vehicle;96%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:30:26
6;3ZXWpTMXyTRf1fxbZOaWbOTVqtT2;#¿NOMBRE?;-71,5490871;-33,0079416;44,19999695;9;19;260;In Vehicle;96%;undefined;77;85;undefined;lun.; 10 ago. 2020; 16:30:36
7;3ZXWpTMXyTRf1fxbZOaWbOTVqtT2;#¿NOMBRE?;-71,5500077;-33,0077386;44,19999695;3;19;274;In Vehicle;96%;undefined;85;87;undefined;lun.; 10 ago. 2020; 16:30:47
8;3ZXWpTMXyTRf1fxbZOaWbOTVqtT2;#¿NOMBRE?;-71,5500339;-33,0077209;36,24084005;0;19;273;In Vehicle;97%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:30:57
9;3ZXWpTMXyTRf1fxbZOaWbOTVqtT2;#¿NOMBRE?;-71,5500336;-33,0077206;44,89999771;0;19;269;In Vehicle;96%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:31:07
10;3ZXWpTMXyTRf1fxbZOaWbOTVqtT2;#¿NOMBRE?;-71,5502557;-33,0076706;42,69999695;4;19;275;In Vehicle;96%;undefined;77;85;undefined;lun.; 10 ago. 2020; 16:31:49
