S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;postionDop;horizontalDop;verticalDop;geoidHeight;Day;dDate;Time
1;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5437565;-33,0096311;40,69999695;0,00;0;11;undefined;undefined;undefined;undefined;undefined;undefined;mar.; 22 sep. 2020; 13:30:29
2;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5437528;-33,0096204;47,09999847;1,14;21;356;undefined;undefined;undefined;0,819;undefined;undefined;mar.; 22 sep. 2020; 13:30:50
3;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5436298;-33,0091388;47,09999847;2,45;21;345;In Vehicle;94%;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:31:01
4;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5436333;-33,0091146;47,09999847;0,00;21;344;In Vehicle;94%;undefined;0,798;undefined;undefined;mar.; 22 sep. 2020; 13:31:11
5;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5436333;-33,0090868;42,79999924;2,40;21;344;In Vehicle;94%;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:31:22
6;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,543279;-33,0089378;42,79999924;8,26;21;28;In Vehicle;96%;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:31:33
7;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5425462;-33,00905;42,79999924;0,28;21;43;In Vehicle;95%;undefined;0,797;undefined;undefined;mar.; 22 sep. 2020; 13:31:43
8;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5424157;-33,0092553;42,79999924;6,63;21;229;In Vehicle;95%;undefined;88;88;undefined;mar.; 22 sep. 2020; 13:31:54
9;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5425235;-33,0097522;41;0,01;21;230;In Vehicle;96%;undefined;87;88;undefined;mar.; 22 sep. 2020; 13:32:04
10;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5425228;-33,0097527;41,29999924;0,00;21;230;In Vehicle;96%;undefined;87;88;undefined;mar.; 22 sep. 2020; 13:32:14
11;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5426148;-33,0100437;41,29999924;4,37;21;235;In Vehicle;96%;undefined;87;88;undefined;mar.; 22 sep. 2020; 13:32:25
12;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5426961;-33,0104478;41,29999924;4,03;21;223;In Vehicle;96%;undefined;87;88;undefined;mar.; 22 sep. 2020; 13:32:35
13;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5427652;-33,0108811;41,29999924;4,45;21;230;In Vehicle;96%;undefined;87;88;undefined;mar.; 22 sep. 2020; 13:32:45
14;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5428895;-33,0115175;41,29999924;5,42;21;209;In Vehicle;96%;undefined;87;88;undefined;mar.; 22 sep. 2020; 13:32:56
15;Z0tlGRPTBlXzJSj9wfpetqaQDA03;#¨NOMBRE?;-71,5429851;-33,0120022;41,29999924;4,49;21;225;In Vehicle;99%;undefined;87;88;undefined;mar.; 22 sep. 2020; 13:33:07
