S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;postionDop;horizontalDop;verticalDop;geoidHeight;Day;dDate;Time
1;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5503981;-33,0153919;40,89999771;0;20;153;undefined;undefined;undefined;100;undefined;undefined;lun.; 10 ago. 2020; 16:54:45
2;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5503628;-33,0151978;41,19999695;0;22;107;undefined;undefined;undefined;85;87;undefined;lun.; 10 ago. 2020; 16:54:55
3;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,550363;-33,0151965;40,89999771;0;22;114;Tilting;100%;undefined;77;85;undefined;lun.; 10 ago. 2020; 16:55:06
4;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;-MEP8zC-5qAzUSllN70L;-71,5497477;-33,0153284;40,89999771;8,8;22;118;In Vehicle;95%;undefined;77;85;undefined;lun.; 10 ago. 2020; 16:55:17
5;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5486708;-33,0155044;40,89999771;9,2;22;152;In Vehicle;95%;undefined;77;85;undefined;lun.; 10 ago. 2020; 16:55:27
6;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5475669;-33,0156714;40,89999771;4,4;22;86;In Vehicle;94%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:55:38
7;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5475833;-33,0156707;40,89999771;3;22;15;In Vehicle;96%;undefined;77;85;undefined;lun.; 10 ago. 2020; 16:55:48
8;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5472977;-33,0150191;40,89999771;10,5;22;357;In Vehicle;96%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:55:58
9;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,547274;-33,0145522;36,28190265;4,4;22;4;In Vehicle;96%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:56:08
10;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5470818;-33,0137747;37,84334322;8,3;22;352;In Vehicle;96%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:56:18
11;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5470423;-33,0135421;41,5777296;3,8;22;359;In Vehicle;96%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:56:29
12;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5469369;-33,0130163;40,89999771;6,1;22;9;In Vehicle;93%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:56:40
13;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5469715;-33,0125079;40,89999771;7,1;22;266;In Vehicle;96%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:56:51
14;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5476959;-33,0124701;40,89999771;5;21;261;In Vehicle;96%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:57:02
15;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5482175;-33,0123876;40,89999771;4,6;21;246;In Vehicle;97%;undefined;77;87;undefined;lun.; 10 ago. 2020; 16:57:13
16;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5485673;-33,0122161;40,29999924;4,3;21;349;In Vehicle;97%;undefined;77;87;undefined;lun.; 10 ago. 2020; 16:57:24
17;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5485139;-33,011666;40,69999695;5,4;21;353;In Vehicle;94%;undefined;77;87;undefined;lun.; 10 ago. 2020; 16:57:34
18;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5484441;-33,0112816;40,69999695;2,7;21;350;In Vehicle;95%;undefined;77;87;undefined;lun.; 10 ago. 2020; 16:57:44
19;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5482709;-33,0106431;40,69999695;6,4;21;11;In Vehicle;95%;undefined;87;88;undefined;lun.; 10 ago. 2020; 16:57:55
20;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,548215;-33,0102671;40,69999695;3,9;21;262;In Vehicle;96%;undefined;77;87;undefined;lun.; 10 ago. 2020; 16:58:05
21;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5490597;-33,0102114;40,69999695;6,3;21;198;In Vehicle;95%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:58:16
22;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5491351;-33,0109202;51,86815811;5,3;21;198;In Vehicle;95%;undefined;87;88;undefined;lun.; 10 ago. 2020; 16:58:27
23;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5491694;-33,011012;49,24329837;0;21;188;In Vehicle;97%;undefined;77;87;undefined;lun.; 10 ago. 2020; 16:58:38
24;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5491692;-33,0110122;41;0;20;188;In Vehicle;97%;undefined;77;87;undefined;lun.; 10 ago. 2020; 16:58:49
25;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5491542;-33,0110468;40,89999771;0;20;192;In Vehicle;87%;undefined;75;76;undefined;lun.; 10 ago. 2020; 16:59:21
26;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5491511;-33,0110477;40,69999695;0;20;187;In Vehicle;87%;undefined;75;76;undefined;lun.; 10 ago. 2020; 16:59:32
27;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;-MEPA-88TJXvRm2D-sze;-71,5488343;-33,0112621;40,79999924;6;20;109;In Vehicle;87%;undefined;76;77;undefined;lun.; 10 ago. 2020; 16:59:43
28;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5486358;-33,0112799;40,79999924;0;20;125;In Vehicle;94%;undefined;77;87;undefined;lun.; 10 ago. 2020; 16:59:53
29;AiTMzqXOJRWdCw2bm2PTCbFv2CH3;#¿NOMBRE?;-71,5486361;-33,0112799;40,39999771;0;20;113;In Vehicle;94%;undefined;77;87;undefined;lun.; 10 ago. 2020; 16:59:59
